gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
separately managed accounts, SMA funds, SMA business, separately managed, managed accounts, back-office services, outsourcers are elbowing, Banking on SMA, investment management, management to technology, technology to back-office, SMA, paying attention-and hoping, Banking, funds
complex industrial applications, industrial applications, industrial systems, complex industrial, paper presents, Design methodology, diagnostic systems, systems This paper, systems for complex, strategies for industrial, diagnostic strategies, industrial, systems, diagnostic algorithms developed, design cycle
graphs Moving, shy invariant, Moving, minimum clique-partition, graph, graph invariant, minimum, invariant, shy, result, lambda, clique-partition, alpha, theta, problem
Pictures Expert Group, Motion Pictures Expert, industry-standard Motion Pictures, Expert Group, Motion Pictures, Pictures Expert, delivering streaming multimedia, streaming wireless market, streaming multimedia content, PacketVideo, wireless, PacketVideo technology partners, wireless device manufacturers, industry-standard Motion, PacketVideo technology
finite-dimensional state spaces, arbitrary quantum dynamics, finite-dimensional state, state spaces, spaces What interactions, interactions are sufficient, Hamiltonian, Hamiltonian dynamics, Phys. Rev., simulate arbitrary quantum, entangling N-qubit Hamiltonian, sufficient to simulate, simulate arbitrary, dynamics, local unitaries
dynamic vibration absorbers, three-element type DVA, three-element type dynamic, passive vibration control, vibration control device, type dynamic vibration, dynamic vibration, type DVA, three-element type, Voigt type DVA, vibration absorbers, vibrating body, force or motion, optimization, DVA
finite-state zero-sum discounted, zero-sum discounted stochastic, discount rate approaches, discounted stochastic game, real-closed fields, stochastic games, finite-state zero-sum, zero-sum discounted, theory of real-closed, discounted stochastic, asymptotic behavior, semi-algebraic theory, rate approaches, discount rate, theory
high field, field intensity distribution, quadrature surface coil, field, intensity distribution, brain becomes inhomogeneous, inhomogeneous due, due to wave, head at high, image intensity distribution, high, quadrature surface, quadrature, quadrature coil, surface coil
information retrieval thesaurus, information retrieval, family planning terms, family planning, retrieval thesaurus, terms using CDS, existing scheme, scheme of classifications, retrieval, information, planning terms, Family Planning discipline, thesaurus, CDS, family
Taking back control, SCADA system, Taking back, SCADA, SCADA project, existing SCADA system, implement a SCADA, back control, existing SCADA, system, control, Taking, back, common, implement
Net Enterprise Server, Enterprise Server Release, Server Release Candidate, progress Microsoft Windows, eventually replace Windows, slow progress Microsoft, Dot-Net makes slow, Net Enterprise, Microsoft Windows, makes slow progress, Advanced Server, Release Candidate, Enterprise Server, Server Release, replace Windows
large-scale secure multicast, member cannot decrypt, Distributed servers approach, secure multicast, large-scale secure, order to offer, offer backward, backward and forward, forward secrecy, joins or leaves, multicast, user pool, Distributed servers, data encryption key, servers approach
four-player quantum games, multi-player quantum game, quantum game played, cooperative multi-player quantum, game played, cooperative multi-player, quantum games, four-player quantum, multi-player quantum, Cooperative, quantum, games A cooperative, players, studied, quantum superposed operator
law firm, Blog, firm, law, tools, Individual, institutional, create valuable content, providing simple tools, solve that problem, focus on providing, year, providing simple, users that create, create valuable
global structural representation, whilst incorporating accurate, incorporating accurate blackbox, model identification methodology, Grey-box model identification, whilst incorporating, computing This paper, paper presents, methodology that makes, priori knowledge, dominant structural identification, accurate blackbox models, identification methodology, global structural, structural representation
automatic generation control, automatic generation, generation control parameters, generation control, presents a method, method based, power systems, generation, optimization of automatic, control parameters, genetic algorithm, automatic, control, power, genetic approach
improve business processes, efficiency and profitability, improve business, business processes, huge impact, company efficiency, Choosing, business software, business, software, vendor, profitability, Buying, software features, improve
application environments, environments are exceedingly, exceedingly dynamic, workflow monitoring, Multi-agent collaboration, workflow, dynamic and competitive, problems, monitoring, application, competitive, changing process requirements, collaboration, environments, exceedingly
Web-based enterprise resources, enterprise resources planning, resources planning systems, Web-based enterprise, enterprise resources, resources planning, critical business data, analysis for Web-based, central nervous system, synergic analysis, central nervous, managing an organization, organization mission, mission and critical, e-business implementation
Salt River Project, initiative Reliability planning, management initiative Reliability, River Project, Salt River, cost benefit model, asset management initiative, Reliability planning analysis, initiative Reliability, Reliability planning, SRP rolls, cost benefit, benefit model, asset management, management initiative
background gradient compensation, z-shimmed background gradient, Multiecho segmented EPI, gradient compensation, Multiecho segmented, z-shimmed background, background gradient, segmented EPI, pulse sequence, severe susceptibility artifacts, compensation, functional MRI, EPI with z-shimmed, segmented, proposed and validated
complex Schur polynomial, circle traversed counterclockwise, complex Schur, unit circle traversed, Schur polynomials, traversed counterclockwise, strictly positive, conditions for Schur, Schur, rate of change, unit circle, real polynomial evaluated, circle traversed, Phase conditions, change of phase
