gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
management to technology, technology to back-office, separately managed accounts, SMA funds, SMA business, back-office services, separately managed, managed accounts, outsourcers are elbowing, investment management, Banking on SMA, SMA, paying attention-and hoping, Banking, funds
complex industrial applications, industrial systems, strategies for industrial, complex industrial, paper presents, Design methodology, diagnostic systems, systems This paper, systems for complex, industrial, systems, construction of diagnostic, diagnostic algorithms developed, design cycle, diagnostic
graphs Moving, shy invariant, Moving, minimum clique-partition, graph invariant, graph, minimum, invariant, shy, result, lambda, clique-partition, alpha, theta, problem
Pictures Expert Group, Motion Pictures Expert, industry-standard Motion Pictures, Expert Group, Motion Pictures, delivering streaming multimedia, streaming wireless market, streaming multimedia content, PacketVideo, wireless, PacketVideo technology partners, wireless device manufacturers, delivering streaming, streaming, step ahead
finite-dimensional state spaces, arbitrary quantum dynamics, state spaces, spaces What interactions, interactions are sufficient, Hamiltonian, Hamiltonian dynamics, entangling N-qubit Hamiltonian, Phys. Rev., dynamics, N-qubit Hamiltonian, local unitaries, simulate arbitrary quantum, sufficient to simulate, simulate arbitrary
dynamic vibration absorbers, three-element type DVA, passive vibration control, vibration control device, type dynamic vibration, type DVA, Voigt type DVA, vibration absorber, vibrating body, force or motion, DVA, optimization, control device, exciting force, absorbers The dynamic
finite-state zero-sum discounted, zero-sum discounted stochastic, discount rate approaches, discounted stochastic game, real-closed fields, stochastic games, finite-state zero-sum, zero-sum discounted, theory of real-closed, asymptotic behavior, semi-algebraic theory, rate approaches, discount rate, N-stage game, theory
high field, brain becomes inhomogeneous, inhomogeneous due, due to wave, field, field intensity distribution, quadrature surface coil, high, head at high, surface coil, coil, quadrature, distribution, human brain, wave behavior
information retrieval thesaurus, information retrieval, family planning terms, existing scheme, scheme of classifications, retrieval thesaurus, terms using CDS, information, retrieval, planning terms, thesaurus, Family Planning discipline, family, CDS, planning
Taking back control, Taking back, SCADA system, SCADA, SCADA project, back control, implement a SCADA, existing SCADA system, system, control, existing SCADA, Taking, back, common, implement
Net Enterprise Server, Enterprise Server Release, Server Release Candidate, progress Microsoft Windows, slow progress Microsoft, eventually replace Windows, Dot-Net makes slow, Net Enterprise, makes slow progress, Microsoft Windows, Server Release, Advanced Server, replace Windows, makes slow, slow progress
large-scale secure multicast, member cannot decrypt, secure multicast, Distributed servers approach, large-scale secure, order to offer, offer backward, backward and forward, forward secrecy, joins or leaves, multicast, secrecy for multicast, data encryption key, user pool, multicast data
four-player quantum games, quantum game played, cooperative multi-player quantum, game played, multi-player quantum, quantum games, Cooperative, quantum, studied, games A cooperative, quantum superposed operator, non-zero sum difficulty, four-player, multi-player, played
law firm, Blog, firm, law, tools, Individual, institutional, create valuable content, providing simple tools, solve that problem, focus on providing, year, users that create, create valuable, valuable content
global structural representation, whilst incorporating accurate, incorporating accurate blackbox, model identification methodology, whilst incorporating, Grey-box model identification, computing This paper, paper presents, methodology that makes, priori knowledge, dominant structural identification, accurate blackbox models, global structural, local nonlinearities, evolutionary computing
automatic generation control, generation control, generation control parameters, presents a method, method based, power systems, optimization of automatic, control, control parameters, automatic, power, generation, genetic algorithm, paper presents, genetic approach
features and functionality, improve business processes, efficiency and profitability, improve business, business processes, huge impact, company efficiency, Choosing, business software, business, software, vendor, profitability, software features, improve
application environments, environments are exceedingly, exceedingly dynamic, workflow monitoring, Multi-agent collaboration, workflow, problems, dynamic and competitive, monitoring, application, competitive, changing process requirements, collaboration, environments, exceedingly
Web-based enterprise resources, enterprise resources planning, resources planning systems, Web-based enterprise, critical business data, enterprise resources, resources planning, analysis for Web-based, central nervous system, synergic analysis, central nervous, managing an organization, organization mission, mission and critical, e-business implementation
Salt River Project, initiative Reliability planning, management initiative Reliability, Salt River, asset management initiative, cost benefit model, Reliability planning analysis, Reliability planning, SRP rolls, cost benefit, asset management, SRP, rolls out reliability, reliability and asset, SRP wanted
background gradient compensation, z-shimmed background gradient, Multiecho segmented EPI, gradient compensation, z-shimmed background, background gradient, segmented EPI, severe susceptibility artifacts, pulse sequence, compensation, functional MRI, EPI with z-shimmed, segmented, proposed and validated, suffering from severe
rate of change, change of phase, complex Schur polynomial, circle traversed counterclockwise, complex Schur, unit circle traversed, Schur polynomials, strictly positive, conditions for Schur, Schur, real polynomial evaluated, unit circle, Phase conditions, Phase, real
