crude oil, ocean saturday, alaska, cleanup effort, prince william sound, reef island, chief environmental officer, coast guard, mile long, gallon, wildlife - rich stretch, million, spawn area, slow, dennis kelso
federation, census bureau, house, illegal alien, member, count, suit, seat, congress, state, effort, agency, wednesday, pittsburgh, spokesman
total eclipse, mindanao, southern philippine, sun, cloud, clear reminder, scientist, thousand, wide area, indonesia, asia, mile, tourist, drum, country
seat, census, illegal alien, state, california, georgia, virginia, house seat, policy study, change, way, side, group, north carolina, black
unofficial tornado season, texas, nation, april, june, people, begin, average, killer storm, damage, brick home, heartland, spring thunderstorm, buddy mcintyre, year
hurricane expert, fiercer storm, william gray, turbulent summer, year, populate area, sea, wind, air pressure pattern, early, impossible, active period, professor, friday, atmospheric science
north florida town, tornado, separate home, dawn today, people dead, damage, georgia, official, tree, mile, peavy, car, roof, destruction, mobile home
yasser arafat, united states, tuesday, assassination, khalil wazir, accusation, palestinian guerrilla, plo, arab government, washington, plo official, document, abu jihad, slain april, facility
single - engine airplane, albuquerque, tuesday, ramazzini, medical investigator, people, crash, leave turn, nearby coronado airport, ditch, dirt road, outskirt, witness, body, wind
federal military commander, official statement, slovenia, friday, march, way, republic, plan, dissent, special warfare, report, dissident tendency, meet, yugoslavia, foreign - back conspiracy
major hurricane, hurricane - force wind, worse, gulf coast, center director bob sheet, tuesday, head, study, western tip, open, evacuation, mph, satellite, year, atlantic
osman morote, shine path, police, abimael guzman, maoist rebel group, eight - year guerrilla war, radical leader, official, javier palacio, capture, terrorist attack, party, military chief, peru, monday
illegal alien, census, seat, state, equal, large number, citizen, constitution, undocumented resident, bill, purpose, country, count, census bureau, time
air today, black forest, pilot, aircraft, west german police, accident, f-16, al sattler, 50th tactical fighter wing, crash, hour, air force spokeswoman, populated area, mile, plane
agriculture department, late informational gimmick, acreage conservation reserve, june, drought - relate action, cua, march, graze, lyng, hotline, meat purchase, reporter, hay, acr, actual dollar
lightning - spark fire, gusty wind, utah, wyoming, strong wind, firefighter, new york department, regional ranger, absence, firework, week, state, vehicle exhaust pipe, acre, flame
blaze, steady rain monday afternoon, acre, hour, crew, much - need edge, spokesman dale bluedorn, control monday, fire, park spokeswoman amy vanderbilt, low humidity, quarter - inch, wyoming, michigan, firefighter
holiday weekend fire, forest, acre, california, utah, firefighter, wyoming, saturday, montana, michigan, trail, blaze, three - day rain, wilderness area, monday
drought, ohio valley, heavy rain, little relief, percent chance, month, recent rain, texas, climate analysis center, focus, nation, agriculture department, july, thursday, agency
forest fire, dale smallwood, regional tradition, missouri, tax dollar, year, ron mcdonald, percent, people, timber, wood aflame, acre, arsonist, criminal investigator, carbon particle
annual agriculture department survey, thursday, year, drought, percent, bushel, sharp reduction, humid weather, farmer, president reagan, small output, relief bill, united states, wilson, month
shine path guerrilla, district attorney, jungle raid, maoist group, charge, dozen, police, peasant, office, death squad, soldier, ayacucho, tuesday, government, mile
forest fire development, brief look, western state
iwate prefecture, misawa, pilot, helicopter, mile, fighter, crash, tokyo, good condition, american military base, police, f-16, forest area, northern japan, spokesman
welfare legislation congress, president reagan, saturday, unemployment figure, good way, americans, state, percent, year, administration, federal government, people, labor day weekend radio address, vacation ranch, necessary
f-14 jet fighter, navy aircraft, coast guard, vessel today, atlantic ocean, crewman, north carolina, mile, el cajon, crewmate, hangar, san diego suburb, combat maneuver, official, people
national hurricane center, bob sheet, director, beat tuesday, interview, multitude, question, active tropical weather, reporter, large monitor, hurricane - force wind, march, sixth floor, schedule, morning
hurricane gilbert, wind, mile, barometric pressure, damage, mark zimmer, hour, western hemisphere, storm, category, air force reconnaissance plane, inch, tall chimney, mph, center
hurricane gilbert, record - break fury, caribbean islander, sheet, barometric pressure, storm, cover, interview, calm, large monitor, helm, inch, tuesday, center, director
nation, finance minister, west berlin, develop, country, brazil, african brother, international economic relation, indebted, debt, world, western creditor, monday, operator, similar theme
canadian ben johnson, olympic today, drug, dangerous, fast, complete state, world, american carl lewis, shock, international competition, gold medal, prize, track, canada, dash
national hero ben johnson, canadian, tuesday, drug, sport minister jean char, canada, angry, anabolic steroid, sprinter, calgary, performance, great sorrow, alberta, outrage, sad
ben johnson, olympic gold medal, homecome, drug test, seclusion, flight, boston globe, hero, welcome, illegal steroid stanzolol, sprinter, canada, canadian, dodged reporter, plane
ben johnson, olympic gold medal, canadian pride, nation hungry, hockey superstar wayne gretzky, drug scandal, strip, john furedy, toronto, canada, hero, world record time, shame, larry heidebrecht, second
ben johnson, olympic gold medal, close, runner, steroid, astaphan, charlie francis, seoul, aware, sunday, therapist, interview, toronto star newspaper, positive, final
colossal tunneling machine, dover, long - distance rail travel, large civil engineering project, white cliff, time, napoleon, dream, london - paris journey, continental european, foot, colin kirkland, track, britain, true
hurricane joan, open caribbean today, mph wind, coast, storm, colombia, jim gross, forecaster, town, people dead, bolivar, state, unusual southern path, possible landfall, mile
diabetic, level, insulin secretion, hormone, disease, new zealand biochemist garth cooper, new treatment, amylin, type ii diabetes, pancrease, obesity, scientist, major contributor, effectiveness, research
strategic air command installation, b-52 bomber, crew member, radar navigator, spokeswoman, george peck, plane, landing, fair condition, pilot, mark hartney, anita bailey, weapon, touch - and - go, runway
city, fiery crash, saturday, national defense program, people, popular support, remscheid, fire brigade leader berthold hoehler, construction worker, accident, low - level flight training mission, dieter wellershoff, house, body, west germany
yellowstone national park, house agriculture committee, hearing, one - third, west, de la garza, stubborn wildfire, area, people, chairman, major problem, drought - relief legislation, catastrophe, year, opinion
government, halt, panel, recommendation thursday, report, wilderness area, co - chairman, moratorium, start, economic effect, secretary, agriculture, fire, interior, agency
pan american world airways flight, wednesday night, lockerbie, people, crash, scotland, development today, glance, ground
ocean temperature abnormality, drought, new computer study, equator, atmospheric research, midwest, author, thursday, narrow band, high, year, jet stream, east coast, april - june period, northern half
routine training flight, plane, air force, pentagon, second crash, dan howard, pilot, a-10, morning, west german city, britain, raf bentwater, chief spokesman, week, england
path guerrilla, capital, reactionary force, slum, military, abimael guzman, bloody uprising, shantytown, people, ande, mountain, year, peru, sendero luminoso, official figure
undamaged right engine, crash boeing, pilot, flight crew, jet, authority, investigator, plane, wednesday, inspection, clue, sunday, government, similar aircraft, airplane
new year usher, patti smith, unwelcome think, cooke city, winter, silver gate, northeastern corner, firefighter, newspaper, lot, citizen, tiny suburb, snow, flame, fire
white policeman, don jackson, city council today, conduct, county prosecutor, ste saturday night, incident, investigation, plate - glass window, living room, nbc - tv news camera crew, sgt, long beach, happy, black hawthorne policeman
fair trading, giant de beer diamond organization, south africa, consolidate gold fields plc, office, monopoly, london, complaint, luxembourg - base minorco sa, tuesday, takeover bid, investigation, central selling organization, watchdog body, merger commission
tornado, changeable spring weather, twister, small area, america, record number, frequent thunderstorm, common, annual assault, month, wind, atmospheric research, north carolina, fatality, interior hallway
earthquake, richter scale, considerable damage, magnitude, survey, nepal - india border, soviet, strength, people, main shock, additional, injury, live, large area, year
tuberculosis bacteria, drug abuser, people, aids virus, high risk, study, new england journal, hiv, medicine, doctor, recent year, health care worker, tb bacteria, methadone program, prevalence
solar telescope, moon tuesday, flare - produce sunspot, view, silhouette mountain, sun, type, crowd, california institute, western north america, percent, eclipse, ed krupp, people, technology
diabete test, joanne pierluissi, tube, blood, daughter, form, small motor home, forearm, vein, nurse mary perez, sleeve, needle, texas, hispanic, disease
diabete test, joanne pierluissi, tube, blood, daughter, forearm, nurse mary perez, vein, sleeve, needle, small motor home, hispanic, researcher, general population, form
scientist, total solar eclipse, clay tablet, year, reliable record, ancient observer, analysis, today, researcher, edwin krupp, syria, ugarit, british journal nature, fear, march
police racism, city, scuffle, john laux, civil right, brutality, problem, allegation, recent protest, liberal, black, gleason glover, student, drug raid, interracial cooperation
large oil spill, prince william sound, calm water, ship, effort, fishing industry worker, bligh reef, mile, early friday, united states, environmental conservation, gallon, valdez, ice, chunk
tanker, big oil spill, sunday, nation, disaster area, square mile, good friday earthquake, vessel, north slope crude, bridge, coast guard, valdez, captain, company, reef
tornado fact, national weather service, insurance information institute, april, mph, news account, record, mile, path, average, frequent, month, june, illinois, missouri
exxon crew tuesday, crude oil, preparation, ship, vessel, sea otter, authority, source, tanker exxon valdez, oil - catch boom, oily waste water, nation, spill, square mile, hour
alaskan coastline fouled, exxon official monday, plan, mile, nation, alaska site, cleanup, proposal, pollute, local environmental law, large oil spill, valdez, suspension, huge brown bear, sludge - cover beach
exxon, alaskan oil spill, environmental disaster, plan, cleanup strategy, consumer, yost, mile, politician, environmentalist, gas price, national press club, washington, alaska, anger
tuberculosis rate, time high, cdc, inmate, federal health official, prison, outside, disease control, thursday, isolation, center, researcher, bar, large correctional system, survey
atlantic hurricane season, open, forecaster, thursday, arrival, coastal population, bob sheet, florida, air force, crucial, west, storm, year, new technological help, heavy rain
major financial center, communist rebel today, police chief, herminio taylo, philippine, escalation, street violence, public market, makati, assassin, lydio zeta, 10th soldier, capital area, twin city, fruit
smoke saturday, wind, state, firefighter, acre, timber, home, brush, fire, new mexico, west, utah, mile, spokesman arnold hartigan, california
high humidity, western state, firefighter whip blaze, rain, creek, fish, acre, ash, official, new mexico fire, biologist, hundred, toby martinez, long - handle net, pine ridge
new immigration bill, illegal alien, census, house seat, process, state, senate, constitution, apportionment, person, congressional reapportionment, amendment, supreme court, question, senate debate
state constitutional amendment, gun, right, felon, edward brown, judge, perkin, arm, firearm, criminal threatening, citizen, charge, cumberland, prosecutor, friday
record - break fire season, western wildfire, dry august, acre, flare - up, sandi sacher, week, damage, candle, year, range land, firefighter, hard - hit area, idaho, drought
major issue, census, illegal alien, state, military personnel, commerce department, constitution, people, resident, house seat, slow growth, congress, decision, national head count, loss
water wednesday, food, nearby island, puerto rico, loose, eastern caribbean, resident, mph, forecaster, tape window, barbuda, mile, san juan, wind, dean
wildfire command post, nation, west ablaze, summer, lightning, idaho, airplane, electricity, mile, fire, red chemical retardant, year, reed jarvis, strategist, max
maoist shine path guerrilla, upper huallaga river valley, local police, semi - refined cocaine, peru, drug abuse, rebel, revolutionary justice, village, tingo maria, homosexuality, peasant, order, prostitution, cocaine - corrupt
satellite, supercomputer, information, storm, time, people plenty, radar, good idea, accuracy, emmanuel, hurricane, landfall, wind speed, forecaster, south carolina coast
hearing, police brutality, new mayor, black activist, young daley, report, day, city, late father, fear, machine politic, nation, widespread segregation, minority, racial issue
ben johnson, steroid, carl lewis, muscle - build substance, athlete, reporter, wrong, positive, mel levine, world - class sprinter, legislation, field, track, pedestal, abuse
major earthquake, san francisco bay area tuesday, high probability, northern california, clarence allen, richter scale, report, strong quake, severe damage, magnitude, region seismologist, year, professor, structure, geology
