gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, solve fluid dynamic, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, algorithm Recent, information processor communicate, dynamic problem, lattice gas, communicate via classical
separately manage account, sma fund, SMA business, separately manage, manage account, back - office service, outsourcer be elbow, Banking on SMA, investment management, management to technology, technology to back - office, SMA, pay attention - and hope, Banking, fund
complex industrial application, industrial application, industrial system, complex industrial, paper present, Design methodology, diagnostic system, system this paper, system for complex, strategy for industrial, diagnostic strategy, industrial, system, diagnostic algorithm develop, design cycle
graph move, shy invariant, move, minimum clique - partition, graph, graph invariant, minimum, invariant, shy, result, lambda, clique - partition, alpha, theta, problem
picture expert group, motion picture expert, industry - standard motion picture, Expert Group, motion picture, picture expert, deliver stream multimedia, stream wireless market, stream multimedia content, PacketVideo, wireless, packetvideo technology partner, wireless device manufacturer, industry - standard motion, PacketVideo technology
finite - dimensional state space, arbitrary quantum dynamic, finite - dimensional state, state space, space what interaction, interaction be sufficient, Hamiltonian, hamiltonian dynamic, phy . rev ., simulate arbitrary quantum, entangle n - qubit hamiltonian, sufficient to simulate, simulate arbitrary, dynamic, local unitarie
dynamic vibration absorber, three - element type dva, three - element type dynamic, passive vibration control, vibration control device, type dynamic vibration, dynamic vibration, type DVA, three - element type, Voigt type DVA, vibration absorber, vibrate body, force or motion, optimization, DVA
finite - state zero - sum discount, zero - sum discount stochastic, discount rate approach, discount stochastic game, real - close field, stochastic game, finite - state zero - sum, zero - sum discount, theory of real - closed, discount stochastic, asymptotic behavior, semi - algebraic theory, rate approach, discount rate, theory
high field, field intensity distribution, quadrature surface coil, field, intensity distribution, brain become inhomogeneous, inhomogeneous due, due to wave, head at high, image intensity distribution, high, quadrature surface, quadrature, quadrature coil, surface coil
information retrieval thesaurus, information retrieval, family planning term, family planning, retrieval thesaurus, term use cd, exist scheme, scheme of classification, retrieval, information, plan term, Family Planning discipline, thesaurus, cd, family
take back control, SCADA system, take back, SCADA, SCADA project, exist scada system, implement a SCADA, back control, exist scada, system, control, take, back, common, implement
